Id,OrgId,IncidentId,AlertId,Timestamp,DetectorId,AlertTitle,Category,MitreTechniques,IncidentGrade,ActionGrouped,ActionGranular,EntityType,EvidenceRole,DeviceId,Sha256,IpAddress,Url,AccountSid,AccountUpn,AccountObjectId,AccountName,DeviceName,NetworkMessageId,EmailClusterId,RegistryKey,RegistryValueName,RegistryValueData,ApplicationId,ApplicationName,OAuthApplicationId,ThreatFamily,FileName,FolderPath,ResourceIdName,ResourceType,Roles,OSFamily,OSVersion,AntispamDirection,SuspicionLevel,LastVerdict,CountryCode,State,City,Usage
1.24554E+12,657,11767,87199,2024-06-04T22:56:27.000Z,524,563,LateralMovement,T1021;T1047;T1105;T1569.002,BenignPositive,,,User,Impacted,98799,138268,360606,160396,2610,3699,425863,863,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630,Private
1.40016E+12,3,91158,632273,2024-06-03T12:58:26.000Z,2,2,CommandAndControl,,BenignPositive,,,Machine,Impacted,1239,138268,360606,160396,441377,673934,425863,453297,2833,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,0,0,,Suspicious,Suspicious,242,1445,10630,Public
1.2799E+12,145,32247,131719,2024-06-08T03:20:49.000Z,2932,10807,LateralMovement,T1021;T1027.002;T1027.005;T1105,BenignPositive,,,Process,Related,98799,4296,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,14,22,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630,Public
60129547292,222,15294,917686,2024-06-12T12:07:31.000Z,0,0,InitialAccess,T1078;T1078.004,FalsePositive,,,CloudLogonSession,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
5.15396E+11,363,7615,5944,2024-06-06T17:42:05.000Z,27,18,Discovery,T1087;T1087.002,BenignPositive,,,User,Impacted,98799,138268,360606,160396,133549,673934,425863,136104,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,Suspicious,5,66,,,,242,1445,10630,Public
6.70015E+11,0,238,378946,2024-06-06T08:10:50.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,User,Impacted,98799,138268,360606,160396,2544,3392,2558,2696,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1.194E+12,133,105333,732769,2024-06-15T04:06:55.000Z,3,4,SuspiciousActivity,,BenignPositive,,,Machine,Impacted,593,138268,360606,160396,441377,673934,425863,453297,1794,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630,Private
6.78605E+11,6,2461,1523,2024-05-26T11:48:38.000Z,17,1265,Impact,,BenignPositive,,,Ip,Related,98799,138268,10862,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
6.18475E+11,7,5177,1815,2024-05-25T17:57:20.000Z,21,528,Impact,,FalsePositive,,,Ip,Related,98799,138268,128,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
4.38087E+11,100,7060,9787,2024-06-02T05:46:22.000Z,72,53,Impact,,BenignPositive,,,Ip,Related,98799,138268,473,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1.69222E+12,1657,57605,1034338,2024-06-12T17:26:23.000Z,19,15,InitialAccess,,TruePositive,,,User,Impacted,98799,138268,360606,160396,15183,25813,15468,16899,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1.64927E+12,103,15377,696227,2024-06-05T12:42:16.000Z,1143,2083,CredentialAccess,T1111;T1557,TruePositive,,,Ip,Related,98799,138268,194296,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630,Public
1.39157E+12,2,4993,8128,2024-06-07T20:25:10.000Z,42,27,Exfiltration,,BenignPositive,,,File,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,14338,0,3586,,,5,66,,,,242,1445,10630,Public
9.36303E+11,455,49671,96083,2024-06-10T22:46:43.000Z,6,5,InitialAccess,T1566,TruePositive,,,User,Impacted,98799,138268,360606,160396,121,86,113,140,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1.3658E+12,232,10293,437075,2024-06-03T20:26:20.000Z,363,13740,Exfiltration,,FalsePositive,,,File,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,13536,5550,3586,,,5,66,,,,242,1445,10630,Private
1.03079E+12,12,2404,1443,2024-05-25T20:41:43.000Z,16,412,Impact,,BenignPositive,,,Ip,Related,98799,138268,5086,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1.37439E+12,17,3517,15766,2024-06-10T21:04:12.000Z,20,3938,Exfiltration,,FalsePositive,,,Ip,Related,98799,138268,14718,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
8.50404E+11,110,144,933480,2024-06-06T19:09:51.000Z,4,3,InitialAccess,,TruePositive,,,Ip,Related,98799,138268,8246,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,51,1445,10630,Private
60129546485,30,145209,146034,2024-06-07T02:40:22.000Z,37,31539,Exfiltration,,FalsePositive,,,MailMessage,Impacted,98799,138268,360606,160396,441377,355472,425863,453297,153085,67316,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
8.58993E+11,413,246882,1353160,2024-06-13T12:47:11.000Z,7,6,InitialAccess,,FalsePositive,,,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1.47747E+12,210,108436,586912,2024-06-12T16:17:37.000Z,5,1614,SuspiciousActivity,,FalsePositive,,,User,Impacted,98799,138268,360606,160396,19159,30493,18555,19907,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Private
